title,section,image_url,article_url,content_time,author_name,description
Notifican a Camacho por caso de supuesta falsificación de firmas,País,https://www.lostiempos.com/sites/default/files/styles/noticia_detalle/public/media_imagen/2023/11/1/camacho.jpg?itok=bINl358H,https://www.lostiempos.com/actualidad/pais/20240521/notifican-camacho-caso-supuesta-falsificacion-firmas,Publicado el 21/05/2024 a las 15h21,AGENCIAS,"
El gobernador de Santa Cruz, Luis Fernando Camacho, fue notificado formalmente con una nueva denuncia en su contra, en esta ocasión por el caso de una supuesta falsificación de firmas.
A Camacho, actualmente recluido en Chonchocoro por el caso Golpe de Estado, se lo acusa por los delitos de falsedad material, falsedad ideológica e incumplimiento de deberes.
La denuncia fue interpuesta por el Viceministerio de Transparencia y acusa a Camacho de haber firmado un documento oficial en Santa Cruz, cuando en realidad se encuentra recluido en la cárcel de Chonchocoro en La Paz. La Gobernación cruceña, actualmente administrada por Mario Aguilera, también se adhirió a la denuncia, según el reporte de Unitel.
La notificación a Camacho se realizó el pasado jueves 16 de mayo en el mismo Centro Penitenciario de Chonchocoro. La justicia lo citó a declarar como denunciado el próximo miércoles 29 de mayo a las 11:00 horas de manera presencial en el penal.
La información fue confirmada por el representante legal de Camacho, el abogado Martín Camacho, quien señaló a El Deber que la denuncia no tiene ""asidero alguno"". Considera que se trata de ""uno de los montajes más burdos del Gobierno"" para mantener detenido al gobernador cruceño."
Vocal del TSE pide al MAS aceptar decisión que se tome sobre el Congreso del Pacto de Unidad,País,https://www.lostiempos.com/sites/default/files/styles/noticia_detalle/public/media_imagen/2023/10/20/4_p_3_erbol.jpg?itok=8ouZJ_N5,https://www.lostiempos.com/actualidad/pais/20240521/vocal-del-tse-pide-al-mas-aceptar-decision-que-se-tome-congreso-del-pacto,Publicado el 21/05/2024 a las 15h08,OXÍGENO y agencias,"
El vocal del Tribunal Supremo Electoral (TSE), Tahuichi Tahuichi Quispe, pidió este martes que ambos bandos del Movimiento al Socialismo (MAS), tanto al ala evista como al renovador, acepten la decisión que adopte la Sala Plena del Órgano Electoral respecto al Congreso que desarrolló el Pacto de Unidad a inicios de mayo en El Alto.
El Congreso del Pacto de Unidad terminó eligiendo a Grover García como el nuevo Presidente del MAS, en reemplazo de Evo Morales. Sin embargo, la dirigencia evista desconoce tal encuentro y afirma que los miembros del Pacto de Unidad no son militantes del Instrumento Político.
Tahuichi, en ese sentido, lamentó que el TSE está trabajando en medio de un ""fuego cruzado"" y presiones entre ambas facciones.
""Nos están 'huayqueando' (golpear entre muchos a uno solo), nos están jaloneando, pero eso no va a afectar en absoluto nuestra decisión técnica"", dijo en entrevista con La Razón.
Y pidió que ""no atenten contra la democracia. Tenemos que cuidar nuestra hermosa democracia"".
Entretanto, en conferencia de prensa, los seguidores de Evo Morales reiteraron sus amenazas de bloquear en caso de que se les ""arrebate"" la sigla del MAS.
El dirigente Ramiro Cuchu señaló que proscribir al MAS sería como un ""genocidio político"", porque impediría la participación electoral del movimiento indígena.
""Si los derechos políticos del movimiento indígena son vulnerados, la respuesta va a ser contundente, la respuesta va a ser en las calles y en las carreteras para defender la verdadera democracia de los pueblos"", dijo Cuchu, según reporte de Erbol.
Y enfatizó que, en caso de arrebatarse la sigla a los ""evistas"", la movilización será nacional, indefinida y ""hasta las últimas consecuencias"".
El fin de semana, Evo Morales había advertido que si el Tribunal Supremo Electoral (TSE) aprueba el Congreso que llevó adelante el Pacto de Unidad - no reconocido por su dirigencia- en El Alto será un ""genocidio al movimiento político e indígena"".
""No se puede entender cómo el Tribunal Supremo Electoral es sometido al Gobierno. Si mañana el TSE reconociera el congreso de El Alto, sería un genocidio al movimiento político, un genocidio al movimiento indígena, sería un atentado a la democracia"", advirtió.
La pasada semana, con el voto disidente de su presidente y vicepresidente, Oscar Hassenteufel y Francisco Vargas, respectivamente, la Sala Plena del Tribunal Supremo Electoral (TSE) impuso la ""primera amonestación grave"" al Movimiento al Socialismo (MAS) por no convocar al Congreso para renovar su directiva. Con tres amonestaciones, la Organización podría ser eliminada.
Según el TSE, el MAS ha incumplido la resolución 122/2024, mediante la cual se había conminado a convocar congreso nacional para renovar su directiva con previo consenso acreditado con las organizaciones sociales.
""Disponer la primera amonestación grave, al partido político Movimiento Al Socialismo-Instrumento Político por la Soberanía de los Pueblos (MAS- IPSP) de acuerdo a la disposición contenida en el inciso a.iii), literal a), parágrafo I, del artículo 12 del Reglamento de Procedimiento para la cancelación de Personalidad jurídica y gradación de sanciones aprobado por Resolución TSE-RSP-ADM N° 0132/2022 de 30 de marzo de 2022 y modificado por Resolución TSE-RSP-ADM N° 0253/2022 de 30 de junio de 2022"", señala la resolución del TSE.
El ala evista del MAS había desarrollado su Congreso en Lauca Ñ en octubre de 2023 y reeligieron a Evo Morales como su Presidente; sin embargo, el encuentro y sus resoluciones no fueron reconocidos por el TSE debido al incumplimiento de requisitos establecidos en el Estatuto Orgánico del Instrumento Político.
Aunque los evistas, primero, defendían la legalidad de ese Congreso, tras un ultimátum del TSE dieron el brazo a torcer y convocaron a un nuevo Congreso a desarrollarse en junio en Villa Tunari; sin embargo, el TSE rechazó su supervisión debido a que la dirigencia de Evo Morales no consensuó con las organizaciones sociales matrices del Instrumento Político.
Ante ese panorama, Morales y los suyos volvieron a emitir una convocatoria para su Congreso en julio próximo y tratan de justificar ante el TSE que se consensúa con los ""legítimos"" dirigentes de las organizaciones sociales que son, precisamente, los abiertamente aliados con el evismo.
En paralelo, el Pacto de Unidad no afín a Morales desarrolló, entre el 3 y 5 de mayo, su Congreso en el que eligió a Grover García como Presidente del MAS; sin embargo, la decisión aún está sujeta a aprobación y reconocimiento del TSE.
El Tribunal Supremo Electoral (TSE) había rechazado supervisar el Congreso del Pacto de Unidad; no obstante, representantes de las organizaciones sociales que componen el Pacto de Unidad presentaron una medida cautelar ante la Sala Constitucional Primera de La Paz, instancia que dispuso que el TSE debía acompañar el Congreso de El Alto, aunque eso no significa una validación automática de sus determinaciones.
Así, el TSE decidió realizar una supervisión ""provisional y condicionada"" al Congreso del Pacto de Unidad a través del Servicio Intercultural de Fortalecimiento Democrático (Sifde), instancia que deberá remitir su informe a Sala Plena en un plazo no mayor a los 9 días.
Con ese documento, la Sala Plena del TSE decidirá si reconoce o no el Congreso del Pacto de Unidad y sus determinaciones, entre ellas la designación de Grover García como nuevo Presidente del MAS en lugar de Evo Morales."
"Un can fue presuntamente baleado por militares, su estado es crítico",Seguridad,https://www.lostiempos.com/sites/default/files/styles/noticia_detalle/public/media_imagen/2024/5/21/joni_0.jpg?itok=FFMbDh0y&c=4386c42ef200fd21f50eab95adc2bfdb,https://www.lostiempos.com/actualidad/seguridad/20240521/can-fue-presuntamente-baleado-militares-su-estado-es-critico,Publicado el 21/05/2024 a las 14h56,Los Tiempos y agencias,"
Un can de raza dachshund, más conocido como “salchicha”, fue presuntamente baleado por militares pertenecientes a la Octava División parte del Ejército Nacional de Bolivia en Santa Cruz. El perro se encuentra en estado crítico y la familia advierte con denunciar a los responsables del hecho.
“Salió de la casa por un descuido y entró al cuartel, por la parte de abajo y en la noche salió sin poder mover ambas piernas. Al principio pensamos que lo atropellaron, pero luego de llevarlo al médico, salió que tiene en la columna una bala. A mi perrito le dispararon”, afirmó Alejandra Almaraz, propietaria de Joni.
Iveth Flores, parte de la Fuerza Animalista de Bolivia, califica de “biocidio” el presunto accionar de militares contra el can. Los dueños del animal anunciaron acciones en contra de los responsables del hecho y piden justicia a las autoridades competentes.
""Joni"" continúa internado en la clínica veterinaria y no descartan “dormirlo” ante las complicaciones en su estado de salud ya que el can podría quedar paralítico por daños en la médula espinal."
Pochettino deja la dirección técnica de Chelsea,Fútbol Int.,https://www.lostiempos.com/sites/default/files/styles/noticia_detalle/public/media_imagen/2023/5/29/pochettino.jpg?itok=7jUjk7Mw,https://www.lostiempos.com/deportes/futbol-int/20240521/pochettino-deja-direccion-tecnica-chelsea,Publicado el 21/05/2024 a las 14h49,EFE,"
El técnico argentino Mauricio Pochettino ha decidido abandonar el Chelsea de mutuo acuerdo con el club tras menos de un año en el puesto.
Pese a la clasificación del club a Europa, tras una segunda vuelta de campeonato bastante buena, el argentino ha decidido no continuar con su contrato en el club de Stamford Bridge.
""Gracias a la propiedad del Chelsea y a la directiva por la oportunidad de ser parte de la historia de este club. El club está ahora bien posicionado para dar un paso adelante en la Premier League y en Europa en los próximos años"", dijo Pochettino en un comunicado.
Junto a Pochettino salen también del club Jesús Pérez, su asistente, Miguel D'Agostino, Toni Jiménez, entrenador de porteros, y Sebastián Pochettino.
Los 'Blues' buscarán ahora un nuevo técnico para la temporada 2024-2025, el que será el séptimo en los últimos cinco años, tras Maurizio Sarri, Frank Lampard, en dos ocasiones, Thomas Tuchel y Graham Potter.
El argentino había sido el cuarto entrenador desde la marcha de Roman Abramovich, por su implicación en la guerra de Rusia, y la compra del club por parte de un consorcio estadounidense liderado por Todd Boehly.
Boehly, en los dos años de gestión, ha gastado más de 1.000 millones de euros, 500 de ellos con Pochettino en el banquillo, en incorporaciones como Moisés Caicedo (120 millones), Christopher Nkunku (60 millones) y Romeo Lavia (62 millones).
Pese al gran desembolso hecho por el club, el Chelsea ha completado una campaña más que irregular, con un decepcionante sexto puesto en la Premier League que vale la clasificación a una competición continental, la Liga Europa o la Liga Conferencia, en función de lo que ocurra en la final de la Copa de Inglaterra entre Manchester City y Manchester United.
Tras llegar a ser duodécimo en la Premier en la jornada 16 y rondar el décimo puesto hasta a falta de tres jornadas para el final, el Chelsea pegó un esprint en la recta final de campaña, con cinco triunfos consecutivos, y logró terminar en sexta posición, por delante del Newcastle United y el Manchester United.
En las copas domésticas, ya que el equipo no se clasificó a Europa la campaña pasada, el equipo de Pochettino perdió contra el Liverpool la final de la Copa de la Liga y alcanzó las semifinales en la Copa de Inglaterra, en la que cayó contra el Manchester City.
""Nos gustaría expresar nuestra gratitud a Mauricio por sus servicios esta temporada. Siempre será bienvenido a Stamford Bridge y le deseamos lo mejor en el futuro"", señalaron en un comunicado Laurence Stewart y Paul Winstanley, directores deportivos del club.
Boehly, hace unos días en una conferencia en Los Ángeles, mostró su apoyo al argentino y dijo que empezaba a ver brotes verdes en el proyecto. Pochettino, sin embargo, en una de sus últimas ruedas de prensa, aseguró que al final de temporada se sentaría con la directiva y decidirían si estaban o no contentos con la relación."
altoke: la nueva aplicación de Banco Sol para la digitalización de cobros,Economía,https://www.lostiempos.com/sites/default/files/styles/noticia_detalle/public/media_imagen/2024/5/21/san_pedro_de_tiquina_tito_yupanqui_achocalla_el_alto_achacachi_16_0.jpg?itok=AJnoX2fQ,https://www.lostiempos.com/actualidad/economia/20240521/altoke-nueva-aplicacion-banco-sol-digitalizacion-cobros,Publicado el 21/05/2024 a las 14h30,,"
Banco Sol presentó altoke, una aplicación gratuita que busca facilitar los pagos y cobros mediante código QR para beneficiar a pequeños negocios y consumidores que a diario interactúan con el mundo digital financiero. La aplicación pretende promover la inclusión financiera mediante este servicio.
La entidad financiera realizó el lanzamiento junto a comerciantes, ejecutivos del gremio empresarial, microempresa e influencers para socializar las características y funcionalidades de la nueva aplicación.
El gerente general de BancoSol, Marcelo Escobar, durante el evento destacó la importancia del comercio para Bolivia. “Sus negocios, además de ser el motor de nuestra economía, tienen un valor esencial en la construcción de conexiones. En cada venta, en cada compra y cada vez que se ofrece un producto o servicio, se desarrolla la cultura del intercambio”, dijo el ejecutivo.
Por su parte, la gerente general adjunta de BancoSol, Verónica Gavilanes, afirmó que en la sociedad actual la digitalización es una parte integral de la vida de los ciudadanos. “Desde compras en línea, hasta pagos a través de aplicaciones móviles, cada vez más transacciones se realizan de manera digital debido a la comodidad, la inmediatez y la seguridad que ofrece este entorno. Esto, definitivamente, abre nuevas oportunidades de negocios y un futuro más prometedor a las empresarias y los empresarios de la microempresa, a la vez que promueve el uso de pagos digitales en Bolivia”, dijo.
altoke nace con el propósito de hacer los servicios de cobro y pago accesibles para todas las personas, acortando la brecha digital para que las bolivianas y los bolivianos usen los servicios financieros, con la confianza y respaldo que brinda la entidad líder en microfinanzas de Bolivia, según un boletín de Banco Sol.
Registrarse en altoke es un proceso rápido y sencillo que no requiere visitas al banco, permitiendo que cualquier persona acceda en solo unos minutos. Los usuarios pueden efectuar pagos y cobros con un solo toque y tienen acceso a reportes diarios que detallan sus ingresos y egresos. Esta herramienta también brinda la opción de retirar efectivo en cualquier sucursal de BancoSol, así como en los puntos Solamigo y Solamigo Express a lo largo del país y próximamente también en cajeros automáticos del banco.
Paralelamente, y como parte esencial de su modelo de banca relacional, la entidad desplegará un equipo de promotores capacitados en las ciudades de La Paz, El Alto, Santa Cruz, Cochabamba, Oruro, Tarija, Sucre y Potosí. Este equipo tiene la misión de acompañar en la adopción de la nueva herramienta digital y estará disponible para resolver dudas o consultas de los usuarios."
74 fraternidades ultiman preparativos para la entrada del Gran Poder en La Paz,Cultura,https://www.lostiempos.com/sites/default/files/styles/noticia_detalle/public/media_imagen/2024/5/21/san_pedro_de_tiquina_tito_yupanqui_achocalla_el_alto_achacachi_15.jpg?itok=dxYEVrfo,https://www.lostiempos.com/doble-click/cultura/20240521/74-fraternidades-ultiman-preparativos-entrada-del-gran-poder-paz,Publicado el 21/05/2024 a las 13h32,Los Tiempos Digital,"
A cuatro días de la festividad del Señor Jesús del Gran Poder, danzarines y músicos de más de 74 fraternidades están listos para mostrar el próximo sábado la riqueza de la diversidad cultural boliviana.
“Cada año, esta entrada mejora y la fortalecemos como Patrimonio Cultural Inmaterial de la Humanidad ante la Unesco, que es reconocido por lo que valoramos su trabajo y la coordinación constante entre todas y todos”, afirmó la ministra de Culturas, Esperanza Guevara, en una conferencia de prensa.
En la misma ocasión, Guevara anunció la campaña “Sin Máscaras Sin Violencia”, impulsada por su Ministerio en coordinación con ONU Mujeres. “Queremos que tanto hombres como mujeres puedan disfrutar de sus derechos sin violencia, sin racismo y sin discriminación”, explicó.
Leni Matienzo, representante de ONU Mujeres, explicó que el objetivo de la campaña es involucrar a hombres de todas las edades que participan en la festividad para prevenir la violencia hacia mujeres y niñas y promover una sociedad donde todos ejerzan sus derechos en igualdad de condiciones.
La entrada se iniciará en la calle Bautista Saavedra, en la populosa zona Buenos Aires, y concluirá en la calle Argandoña y avenida Simón Bolívar, en Miraflores. Gregorio Carrillo, presidente de la Asociación de Conjuntos Folklóricos de Gran Poder, informó que se instalarán 16 puntos de control a lo largo del recorrido. Además, se utilizarán radios para la comunicación permanente y drones para controlar y evitar baches en el paso de los bailarines. “Estamos listos, preparados para este sábado cuando se llevará a cabo la más grande entrada del departamento de La Paz”, declaró Carrillo.
Por su parte, la Policía Boliviana informó que desplegará más de 4.000 efectivos en diferentes puntos a lo largo de la Entrada Folklórica y sus inmediaciones para el control y la prevención de actos delincuenciales."
"Martínez apuesta por la experiencia y talento para la Eurocopa con Ronaldo, Felix y Pepe",Fútbol Int.,https://www.lostiempos.com/sites/default/files/styles/noticia_detalle/public/media_imagen/2022/12/8/ronaldo_portugal_efe.jpg?itok=LdShDQGw,https://www.lostiempos.com/deportes/futbol-int/20240521/martinez-apuesta-experiencia-talento-eurocopa-ronaldo-felix-pepe,Publicado el 21/05/2024 a las 13h30,EFE,"
El seleccionador de Portugal, Roberto Martínez, anunció este martes la lista de 26 jugadores que viajarán en junio a la Eurocopa de Alemania, donde combina la experiencia de Cristiano o Pepe con el talento de jóvenes como João Felix, Vitinha, Xico o Rafael Leão.
Vitinha, del PSG, será el eje del juego de Portugal junto con jóvenes jugadores de mucho talento como João Neves (19 años, Benfica) o Francisco Conceiçao ""Xico"" (21 años, Oporto).
Entre los fijos, estrellas con mucha experiencia como Bruno Fernandes (Manchester United), Bernardo Silva (Manchester City) o Diogo Jota (Liverpool)
Del listado se han caído el exjugador del FC Barcelona que milita en el Sporting de Portugal Francisco Trincão o el extremo del Villarreal Gonçalo Guedes.
Martínez indicó en una rueda de prensa en la Ciudad del Fútbol de Oeiras, en las afueras de Lisboa, que lleva un elenco de jugadores que le permitirán ""flexibilidad táctica"".
El técnico español destacó la importancia de Pepe en este conjunto y el ""buen momento"" de Francisco Conceição, un jugador zurdo, ""diferente, vertical"" y con mucha personalidad, que juega como extremo y tiene mucha capacidad de desborde.
Pese a que el primer día oficial de entrenamiento será el día 3 de junio, Martínez avanzó que, realmente, comenzarán a prepararse el 2 de junio.
Esta lista es provisional, ya que Martínez puede efectuar cambios hasta el 7 de junio, el plazo dado por la UEFA para la inscripción de jugadores.
Con este plantel, Portugal busca repetir la hazaña de 2016, cuando ganó la Eurocopa tras imponerse a Francia en la final.
En Alemania, el equipo luso se encuentra en el grupo F junto a Turquía, Georgia y la República Checa y se estrenará en la competición el día 18 en Leipzig frente a los checos.
Para calentar motores, antes de viajar a tierras germanas, Portugal disputará tres amistosos frente a Finlandia (el 4 de junio en el estadio lisboeta de José Alvalade); Croacia (el 8 de junio en Oeiras, en las afueras de la capital lusa) e Irlanda (el 11 de junio, en Aveiro, 255 kilómetros al norte de Lisboa).
La Eurocopa dará comienzo el 14 de junio en Munich, con el encuentro entre la selección alemana y la escocesa, y finalizará el 14 de julio en el Estadio Olímpico de Berlín.

Lista de convocados:
Porteros: Diogo Costa (FC Porto), José Sá (Wolverhampton Wanderers FC) y Rui Patrício (AS Roma)
Defensas: António Silva (SL Benfica), Danilo Pereira (PSG), Diogo Dalot (Manchester United), Gonçalo Inácio (Sporting CP), João Cancelo (FC Barcelona), Nélson Semedo (Wolverhampton Wanderers), Nuno Mendes (PSG), Pepe (FC Porto) y Rúben Dias (Manchester City).
Medios: Bruno Fernandes (Manchester United), João Neves (SL Benfica), João Palhinha (Fulham FC), Otávio Monteiro (Al Nassr), Rúben Neves (Al-Hilal) y Vitinha (PSG)
Delanteros: Bernardo Silva (Manchester City), Cristiano Ronaldo (Al Nassr), Diogo Jota (Liverpool FC), Francisco Conceição (FC Porto), Gonçalo Ramos (PSG), João Félix (FC Barcelona), Pedro Neto (Wolverhampton Wanderers) y Rafael Leão (AC Milan)."
Moscoso y Rivera ganan el Nacional de Ráquetbol,Multideportivo,https://www.lostiempos.com/sites/default/files/styles/noticia_detalle/public/media_imagen/2024/5/21/moscoso.jpg?itok=aVixNbxi,https://www.lostiempos.com/deportes/multideportivo/20240521/moscoso-rivera-ganan-nacional-raquetbol,Publicado el 21/05/2024 a las 12h08,Redacción Central,"
El chuquisaqueño Conrrado Moscoso y el cochabambino Camila Rivero ganaron el Campeonato Nacional de Ráquetbol, que se disputó el fin de semana en Potosí y que fue clasificatorio al Mundial, que se realizará en agosto, en Texas.
En la final de la categoría Open Moscoso venció por 3-1 a Carlos Keller, para hacerse del título nacional. El chuquisaqueño sumó 160 puntos, Keller fue segundo con 120 y Kadim Carrasco fue tercero con 80.
En damas Rivero fue la mejor con 160 unidades, Romina Rivero fue segunda con 120 y Angélica Barrios, tercera con 80.
En dobles open la dupla Conrrado Moscoso y Kadim Carrasco se quedó con el título y en damas, la pareja integrada por Angélica Barrios y Jenny Daza.
Los otros ganadores en las otras categorías fueron: en varones A Miguel Coronel, en damas A-B la potosina Andrea Fuertes. En varones B Gabriel Fernández, en varones C Mirco Chañi, varones D Sergio Flores, en damas D Ana Calvimontes, finalmente en dobles A Miguel Coronel y Jair Mercado.
"
"Viceministro dice que banca dispone del doble de dólares que el año pasado y ve ""especulación""",Economía,https://www.lostiempos.com/sites/default/files/styles/noticia_detalle/public/media_imagen/2024/4/12/5_p1_mefp.jpg?itok=M862yQnj,https://www.lostiempos.com/actualidad/economia/20240521/viceministro-dice-que-banca-dispone-del-doble-dolares-que-ano-pasado-ve,Publicado el 21/05/2024 a las 11h38,AGENCIAS,"
A abril de 2023, la banca nacional tenía $us 130 millones en billetes y monedas extranjeras, mientras que el mismo periodo de este año dispone de $us 285 millones también en billetes y monedas extranjeras, es decir, más del doble, dijo este martes el viceministro de Política Tributaria, Jhonny Morales.
""A abril de 2024, la banca nacional tenía en billetes y monedas extranjeras 285 millones de dólares, a ese mismo periodo a abril de 2023 tenía 130 millones de dólares de billetes y monedas, por lo que uno puede advertir que en billetes y monedas ha aumentado más del doble en la disposición de dinero, de dólares, en el sistema financiero"", explicó en contacto con Unitel, según citó la agencia ABI.
El lunes, la Autoridad de Supervisión del Sistema Financiero (ASFI) informó que sancionará a nueve bancos (ocho múltiples y un pyme) y a cuatro casas de cambio por venta de dólares a un tipo de cambio superior al establecido por el Banco Central de Bolivia (BCB) y el incumplimiento de la banda de tarifas de comisiones en transacciones de la divisa.
""Nosotros hemos advertido y claramente lo hemos señalado al sector financiero y al exportador que hemos encontrado y hemos evidenciado un proceso especulativo en el suministro o la dotación de dólares al sistema financiero"", lamentó el viceministro.
Según la ASFI, el proceso sancionatorio implica una multa que alcanza al menos Bs 20 millones, además de la restitución de los cobros en exceso a los clientes afectados que llegan a más de 9.200.
Morales anunció que, para esta semana, el Gobierno nacional programó reuniones con el sector exportador ""para justamente ya ver el tema más específico respecto a la llegada de las divisas a territorio boliviano por las ventas al extranjero"".
En el marco de las medidas acordadas entre el Gobierno y el sector empresarial, se fijó de 5% a 10% la banda de comisiones por transferencia y giro de dólares al exterior superiores a los $us 1.000."
Aumentan los promontorios de basura en Quillacollo por un bloqueo en Cotapachi,Cochabamba,https://www.lostiempos.com/sites/default/files/styles/noticia_detalle/public/media_imagen/2024/5/21/basura_quillacollo_cl_ed_listo.jpg?itok=1F6Gy_qH,https://www.lostiempos.com/actualidad/cochabamba/20240521/aumentan-promontorios-basura-quillacollo-bloqueo-cotapachi,Publicado el 21/05/2024 a las 11h35,Cristina Cotari,"
Pese al acuerdo suscrito ayer con los dirigentes de los 10 distritos de Quillacollo, el bloqueo del botadero continúa y los promontorios con todo tipo de basura aumentan en las calles, esquinas, mercados y la terminal provocando olores insoportables.
Los pobladores de Cotapachi cumplen siete días de bloqueo en el ingreso al botadero de Cotapachi para exigir a la Gobernación que asfalte la vía Caico, que une a Cercado con Quillacollo, por el extremo sur de ambos municipios.
El presidente de Control Social del municipio, Óscar Pairumani, informó hoy martes que se solicitó una reunión con el gobernador Humberto Sánchez para solicitar el asfalto de la vía Caico-Cotapachi, la principal demanda de los comunarios que bloquean el camino al vertedero."
