Title,Description,Image URL,Article URL,Author Name,Content Date,Section,Revista
Lucha contra agio y especulación: Intendencia se desplaza en mercados y advierte sanciones,"“Los comerciantes que no cumplan con la normativa van a ver sanciones económicas y hasta clausuras”, avisó el responsable del Departamento de Mercados, Jorge Salazar. ","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/06/01/2024060110133190017.jpg",https://www.opinion.com.bo/articulo/cochabamba/lucha-agio-especulacion-intendencia-desplaza-mercados-advierte-sanciones/20240601101434946724.html,VIOLETA SORIA,2024-06-01,Cochabamba,opinion
Cochabamba amanece con smog; habitantes respiran ‘mala’ calidad de aire,"Cáceres explicó que la Llajta se encuentra en una época de inversión térmica. Dicho fenómeno se manifiesta con una neblina que cubre el cielo cochabambino, conocido como “smog fotoquímico”. ","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/31/2024053112123639697.jpg",https://www.opinion.com.bo/articulo/cochabamba/cochabamba-amanece-smog-habitantes-respiran-mala-calidad-aire/20240531122723946697.html,Violeta Soria,2024-05-31,Cochabamba,opinion
Tragedia en El Abra: hermano de Marbella presenta pronóstico reservado,"Ayer, en medio de profundo dolor y desconsuelo familiares, compañeros y amigos de la familia dieron el último adiós a Marbella, la niña de 7 años que perdió la vida en la zona de El Abra. ","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/29/2024052921240320070.jpg",https://www.opinion.com.bo/articulo/cochabamba/tragedia-abra-hermano-marbella-presenta-pronostico-reservado/20240531104743946688.html,Violeta Soria,2024-05-31,Cochabamba,opinion
La Llajta vive fiesta religiosa entre procesión y tapetes florales,"La celebración de Corpu Christi en Cochabamba fue enaltecida con tapetes florales realizados, en su mayoría, por estudiantes de secundaria. Como ya es tradición, esta fiesta religiosa motivó la creación de alfombras florales en diferentes puntos del Eje Metropolitano de...","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/30/2024053021075271196.jpg",https://www.opinion.com.bo/articulo/cochabamba/llajta-vive-fiesta-religiosa-procesion-tapetes-florales/20240531000058946677.html,REDACCIÓN,2024-05-31,Cochabamba,opinion
Trópico: trigo de invierno se impulsa en Bulo Bulo,"La Gobernación cochabambina trabaja en el cultivo de esta variedad de grano para consumo en esa región del departamento, desde el pasado año.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/29/2024052921360317629.jpg",https://www.opinion.com.bo/articulo/cochabamba/tropico-trigo-invierno-impulsa-bulo-bulo/20240531000049946639.html,MELISSA REVOLLO P.,2024-05-31,Cochabamba,opinion
Gigantes ‘made in’ Bolivia tocan suelos argentino y chileno,"Construyen el pedestal para la escultura de Rosario Vera, en La Rioja. Mientras que Calama estrenó un parque jurásico. ","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/30/2024053021055582993.jpg",https://www.opinion.com.bo/articulo/cochabamba/gigantes-made-in-bolivia-tocan-suelos-argentino-chileno/20240531000046946675.html,REDACCIÓN,2024-05-31,Cochabamba,opinion
"Entierran a Marbella, la niña que murió calcinada en Sacaba","Familiares y compañeros de escuela de Marbella la despidieron ayer. La niña murió calcinada en un incendio dentro de la casa donde vivía con sus tres hermanitos. Los restos de la menor de edad fueron velados en el domicilio donde perdió la vida. Luego, un cortejo fúnebre...","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/30/2024053021021226729.jpg",https://www.opinion.com.bo/articulo/cochabamba/entierran-marbella-nina-que-murio-calcinada-sacaba/20240531000029946673.html,REDACCIÓN,2024-05-31,Cochabamba,opinion
Carta Orgánica requiere dos tercios para su aprobación,"La socialización de la propuesta del texto de Carta Orgánica del Gobierno Autónomo Municipal de Cochabamba (GAMC), que impulsa el Concejo Municipal, comenzó en días recientes. La presidenta del Concejo, Marcela Vidaurre, informó que lo que sigue será el tratamiento en el...","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/29/2024052921382872675.jpg",https://www.opinion.com.bo/articulo/cochabamba/carta-organica-requiere-tercios-aprobacion/20240531000014946641.html,REDACCIÓN,2024-05-31,Cochabamba,opinion
Hoy se celebra el Día Internacional de la Papa y productores expresan preocupaciones,"Por primera vez, este 30 de mayo se conmemora a este tubérculo, según la ONU. Productores de Morochata cuentan sus experiencias y temores por las inclemencias del tiempo. ","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/30/2024053013112956288.jpg",https://www.opinion.com.bo/articulo/cochabamba/hoy-celebra-dia-internacional-papa/20240530131345946660.html,LUIS MAMANI,2024-05-30,Cochabamba,opinion
Más de 30 establecimientos educativos llenan de tapetes florales la ciudad,"En conmemoración de Corpus Christi, la Catedral Metropolitana de Cochabamba alista una misa central y una procesión. Los actos inician a las 9:00 de este feriado.","/asset/zoomcrop,768,432,center,center/media/opinion/images/2024/05/30/2024053008533475051.jpg",https://www.opinion.com.bo/articulo/cochabamba/mas-30-establecimientos-educativos-llenan-tapetes-florales-ciudad/20240530111443946651.html,REDACCIÓN,2024-05-30,Cochabamba,opinion
